,X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
3845745,2.0150614212e+13,-77.20407,38.95743,KDOX,Y2,83,276,0,90,0.5
3845762,2.0150614212e+13,-77.18377,38.94803,KAKQ,W5,118,356,10,90,0.75
3845997,2.01506142122e+13,-77.18567,38.95288,KCCX,N3,124,162,0,80,0.5
3846013,2.01506142122e+13,-77.18461,38.93877,KDCA,O2,15,316,0,30,0.5
3846041,2.01506142122e+13,-77.19429,38.94003,KADW,S1,22,312,0,70,0.5
3846119,2.01506142123e+13,-77.20247,38.95924,KIAD,L4,17,116,0,30,0.5
3846123,2.01506142123e+13,-77.18288,38.95005,KDIX,G1,142,246,-999,-999,-999.0
3846423,2.01506142124e+13,-77.16825,38.94941,KLWX,R8,15,96,0,60,0.5
3846490,2.01506142125e+13,-77.18278,38.956,KDOX,Y2,82,276,0,90,0.5
3846525,2.01506142125e+13,-77.18377,38.94803,KAKQ,W5,118,356,0,60,0.5
3846731,2.01506142126e+13,-77.18288,38.95005,KDIX,G1,142,246,-999,-999,-999.0
3847067,2.01506142128e+13,-77.1523,38.92634,KADW,S1,20,314,0,60,0.5
3847181,2.01506142129e+13,-77.14701,38.94761,KLWX,R8,16,96,0,60,0.5
